lambda,mean_error,std_error,noise_gain,log10_noise_gain,log10_mean_error,curvature,is_corner
1e-12,141753.70107809175,31.80081978099265,318986.00361482496,5.503771627614539,5.15153440680169,,0
3.1622776601683794e-12,114514.50966916679,28.883635054767197,255475.43736526446,5.407349151321931,5.058860517855118,0.03178204798634384,0
1e-11,72518.88149320666,12.845756259739508,156770.52462235713,5.195264411682711,4.860451097063372,0.175816839605891,0
3.1622776601683794e-11,36170.81029870624,6.969301367642612,87444.44198048468,4.941732210682437,4.558358237938148,0.009551328257143709,0
1e-10,17193.788161010787,2.7814479974497064,46380.02172155185,4.666330947698862,4.235371571636224,0.16378774516491648,0
3.1622776601683795e-10,9653.523345671116,1.8445383256128396,24454.509723278,4.388358960283068,3.98468585119954,0.2377608511661889,0
1e-09,5598.599672630325,1.411540581040546,15801.734271007206,4.198704754232607,3.7480794144170453,0.1354568812853851,0
3.1622776601683795e-09,2619.374668838003,0.7248595746123172,7457.470562098616,3.8725915476870183,3.4181976232709905,0.39543135432965393,0
1e-08,1032.4809212614218,0.3331945432475373,4924.98309531777,3.6924047441487957,3.013882035275228,0.16268312183203626,0
3.162277660168379e-08,384.748007339903,0.1828982403388376,2599.535457527517,3.41489574556399,2.5851763792415916,0.15382145431371527,0
1e-07,142.44121198630256,0.07657464866233578,1042.6734280404155,3.018148305925618,2.153635660289523,0.05112564985339324,0
3.162277660168379e-07,65.479239814747,0.04275709773874267,548.2478274464544,2.7389769193648164,1.8161036288007315,0.37445360325488974,0
1e-06,42.591133420826424,0.04225672661196315,445.73443015546775,2.649076181873949,1.6293191975252843,0.709487239904106,0
3.162277660168379e-06,27.065570231415013,0.023370426525893228,280.10810109454843,2.4473256693725967,1.4324171814639595,0.23300224137595502,0
1e-05,15.699446798812403,0.009362658987853954,128.7828783384286,2.1098581274848445,1.1958843494502536,0.312345714850255,0
3.1622776601683795e-05,11.310333978830522,0.004059880811242838,52.937237654125376,1.723761275407523,1.0534754292421356,0.6943598279290732,0
0.0001,9.54991552271041,0.0032425330650861614,43.65954879300515,1.6400792431065003,0.9799995298891931,0.5556997202138794,0
0.00031622776601683794,7.355237514046525,0.0026659786630129734,28.091055447103397,1.4485680569745125,0.8665967014516244,0.2930576363764878,0
0.001,4.539988137678046,0.0015029861451630573,15.764498844924928,1.1976801690361476,0.657054718110915,0.03405897033438091,0
0.0031622776601683794,2.2995724857244455,0.0006505611955117874,7.283745837133361,0.8623547828867046,0.36164710369217823,0.17135048372964062,0
0.01,1.340309820255791,0.0002020289896200094,4.542862710576983,0.6573296122406052,0.12720519961473353,0.84787888949384,1
0.03162277660168379,1.0969458757497115,0.00010177823736695331,2.787857005381259,0.44527049418691356,0.040185199641139896,0.49577141166826,0
0.1,1.0056455656690442,8.20364782316365e-05,1.5680683398258968,0.1953649862581906,0.00244494294988491,0.019908477699836998,0
0.31622776601683794,0.8916234239627078,6.658744966403229e-05,0.7487771746538548,-0.12564740288235382,-0.04981853063132397,0.7142112772139959,0
1.0,0.6987006163759406,4.383122801504961e-05,0.4998113938423887,-0.30119384779645264,-0.15570887362192462,,0
